id,content_clean,star_rating,title,date,site,content_trim
imdb0001,fantastic gtreatest movie win motion picture award,10,What a great masterpiece movie,2020-02-06,imdb,Fantastic gtreatest movie. Win the best motion picture award really.
imdb0002,movie bravo bong direct movie mark fantastic,10,"What a great movie, bravo",2019-08-14,imdb,"What a great movie, bravo.. bong direct this movie up to the mark. fantastic"
imdb0003,writing film watch,10,"One of the few films that can be granted the title of ""masterpiece"".",2019-12-20,imdb,That's it. That's all I'm writing about this film. Now go watch it if you haven't already.
imdb0004,movie watch boring recommended,10,Really good,2019-08-14,imdb,Good movie to watch when u are boring Really recommended!!
imdb0005,movie terrified entire time incredibly rare easy 10 experienced,10,Scariest movie I've experienced.,2020-03-26,imdb,This movie had me terrified the entire time which is incredibly rare. Easy 10. I've never experienced something like this.
imdb0006,write review late movie's life post genre busting oscar read stuff con grifter genre glorious world deceit typically drama laid plan falls gloriously tragically forward black white version glorious luminosity format picture require color,10,A Grifter Great,2020-02-17,imdb,"When you write a review this late into a movie's life, post-genre busting Oscar, nobody will read this stuff, so here goes nothing. I've always liked the con men / grifter genre because it's all about the glorious world of deceit, where nothing is as it seems. Typically the drama comes when the best laid plan falls apart, which it does so gloriously and tragically here. I'm looking forward to the black and white version, as there's a glorious luminosity to that format, and this picture really doesn't require color."
imdb0007,begin start technical aspects shot production design real acting phenomenal joon ho favorite kang ho song score story wow script tackles complicated themes society class flawlessly developes characters perfectly 8 main characters feel actual people objects story situation characters thrilling film watch,10,A thrilling and hilarious masterpiece.,2019-10-10,imdb,"Man, where do I even begin? Let's start with the technical aspects. It is shot very well, the production design is so good that I couldn't tell what was real and what wasn't, the acting is phenomenal (especially from Joon Ho favorite Kang-Ho Song), and the score is the best of the year so far. And now for the story. Just wow. The script tackles so many complicated themes about society and class flawlessly, and it developes all of the characters perfectly. There are about 8 main characters, and they all feel like actual people and not objects for the story. The situation that the characters get in is very interesting and thrilling. This is the best film of the year, and one of the best ever. Just watch it."
imdb0008,pulling reality time illusion connecting spectacular congrats,10,Well deserved an Oscar,2020-11-27,imdb,It is pulling you into reality and at the same time to the illusion. Showing both side and connecting them well. Spectacular ending. Congrats!
imdb0009,parasite yesterday missed mami brilliant gripping tale class conscious thriller miss start makes laugh comic rendering entire movie defies expectations line bong joon ho crafts intricate modern day social hierarchies flipped mood drastically delivering brilliant thematic elements spend 132 minutes movie encounter experience clever humorous dramatic emotion hilarious irreverent south korea's class warfare overstate refreshing parasite genius piece arthouse cinema contemporary comedy errors parasite sublime watched pure entertainment sly poor family manipulating gullible elites paying services parasite wades deep waters sympathy poor desperate souls outstanding south korean dark comedy stand ages final moments unsettling unforgettable impossible estimate test undergo fail,10,It is a class-conscious thriller that you wouldn't want to miss!,2020-05-08,imdb,"Saw Parasite yesterday. Something that we missed out during MAMI. What a brilliant gripping tale this is! It is a class-conscious thriller that you wouldn't want to miss. To start with, it makes you laugh with its comic rendering. When you see the entire movie it defies all your expectations along the line. Bong Joon-ho crafts an intricate look at modern-day social hierarchies. He keeps you flipped on one mood then drastically changes it to the other while delivering some brilliant thematic elements. When you spend 132 minutes seeing this movie you encounter and experience: clever, humorous, dramatic and every other kind of emotion. It is also a hilarious and irreverent take on South Korea's class warfare. I cannot overstate how refreshing Parasite is both as a genius piece of arthouse cinema, but also a very contemporary comedy of errors. Parasite is so sublime because it can be watched for pure entertainment value of a sly poor family manipulating gullible elites into paying them for various services, but Parasite also wades in deep waters of sympathy for its poor desperate souls. It is an outstanding South Korean dark comedy that will stand up to the ages. Its final moments are so unsettling, and so unforgettable and impossible to estimate. It is a test that you undergo yourself and you're most likely to fail! 😊"
imdb0010,bong jon hoo created masterpiece parasite hits genre film thriller horror comedy mystery edge seat start finish recommend watching version experience favorite films time recommend film claimed prize industry throughly deserved,10,Parasite,2022-08-23,imdb,"Bong Jon Hoo has created a masterpiece; Parasite hits every genre throughout the film from thriller, horror, comedy & mystery just to name a few. You never know what's going to come next & it had me at the edge of my seat from start to finish. I recommend watching the B&W version as it gives a different experience. One of my favorite films of all time, can't recommend this film enough; no wonder it's claimed every prize in the industry, throughly deserved!"
imdb0011,cost decision consequence dark realistic thrilling funny fits genres,10,Dark Reality,2021-07-29,imdb,"I can't get over how it ended, everything comes at a cost every decision has its consequence. It's dark realistic thrilling and sometimes funny. This fits to many different genres."
imdb0012,leave opinion masterpiece love films south korea makes love films leave thinking days row film meanings brilliant love detail meaning films symbolism mystery messages audience films,10,Beautiful Masterpiece,2020-02-04,imdb,"I just want to leave my opinion on this masterpiece, I love films from South Korea, and what makes me love them even more are these films that leave me thinking for three days in a row, the fact that the film always has several meanings and is brilliant I love the fact that every little detail always has a meaning, they are films like these with symbolism, mystery and messages to make the audience think that they are the best films for me!"
imdb0013,remember god film makers left hated undertand language picked,10,"It left me silent, then came tears.",2020-06-14,imdb,"Truly, something to remember. Thank god we have good film makers left. Everything in place. I Only hated that I could not undertand language, liked to think that I picked something on the way."
imdb0014,parasite awesome screenwriting acting film beautiful film twist makes surprise parasite sooner theaters playing watched loved world movie brings wealthy poor beautifully shot film edge seat talk film spoil parasite regret,10,This is what a parasite actually is,2020-02-24,imdb,"Parasite was awesome. From the screenwriting to the acting, this was a film. This was a beautiful film. From the twist and turns it makes, to the surprise ending. Parasite had it all. I wish I was able to have seen it sooner but no theaters near me were playing it. But it's ok because I watched it and loved every second of it. The world this movie brings together, between wealthy and poor. This was a beautifully shot film and had me on the edge of my seat throughout the whole thing. I don't want to talk too much about the film because I don't want to spoil it, so please. Go see Parasite, you will not regret it."
imdb0015,loved movie,10,Best Movie ever made,2020-02-14,imdb,"I really loved this movie, you should also at least give it a try."
imdb0016,feel movie cold harsh reality movie's message grasped story bigger picture message perspective life twisted,10,Uncomfortably good.,2020-02-19,imdb,This isn't a feel-good movie. It is is the cold harsh reality of whatever the movie's message was. I was too grasped on the story itself to see the bigger picture. That could be the message itself. It really took my perspective of life and twisted it.
imdb0017,blurring rich poor divide occurs poor family increasingly entangled life wealthy family pretend serve usage home symbol emphasizes theme basement symbolizing poor family's poverty upstairs signifying affluent family's money privilege film focuses concept parasitic single refers adult children live parents unable leave owing lack financial security depicts influence capitalism individuals difficult break cycle poverty film emphasizes topic survival impoverished family length live means misleading manipulating wealthier family crucial remember film social commentary mirror society's reality uncomfortable comprehend message attempting portray bong joon ho directed 2019 south korean black comedy thriller film parasite narrative kim family impoverished family living tiny semi basement apartment son ki woo opportunity teach park's daughter entangled life rich park family ki woo increasingly involved parks life rest kim family begins enter parks lives taking position tutor employee film tackles issues class struggle social inequity kim family's actions set motion chain events reveal families underlying tensions secrets film deals themes greed consequences actions performances ensemble film's unusual combination genres south korean film win palme d'or 2019 cannes film festival won academy awards picture director original screenplay bong joon ho asian director win director oscars film received widespread praise superb acting director storyline depiction societal concerns class conflict box office triumph south korea internationally parasite released gained critical praise applauding bong joon directing,10,The Irritating Masterpiece,2023-01-26,imdb,"The blurring of the rich-poor divide occurs when the poor family becomes increasingly entangled in the life of the wealthy family they pretend to serve. The usage of the home as a symbol emphasizes this theme, with the basement symbolizing the poor family's poverty and the upstairs signifying the affluent family's money and privilege. The film also focuses on the concept of the ""parasitic single,"" which refers to adult children who live with their parents and are unable to leave owing to a lack of work and financial security. It also depicts the influence of capitalism on individuals and how difficult it is to break out from the cycle of poverty. The film also emphasizes the topic of survival, as the impoverished family would go to any length to live, even if it means misleading and manipulating the wealthier family. It's crucial to remember that this film is a social commentary and a mirror of present society's reality; it may be uncomfortable to see, but it's necessary to comprehend the message it's attempting to portray. Bong Joon-ho directed the 2019 South Korean black comedy thriller film Parasite. The narrative follows the Kim family, an impoverished family of four living in a tiny semi-basement apartment. When the son, Ki-woo, is given the opportunity to teach the Park's daughter, they become entangled in the life of the rich Park family. As Ki-woo gets increasingly involved in the Parks' life, the rest of the Kim family begins to enter the Parks' lives in various ways, with each member taking on a position as a tutor or employee. The film tackles issues of class struggle and social inequity, as the Kim family's actions set in motion a chain of events that reveal the two families' underlying tensions and secrets. The film also deals with themes of greed and the consequences of actions. The performances of the ensemble, and the film's unusual combination of genres. It was the first South Korean film to win the Palme d'Or at the 2019 Cannes Film Festival. It also won Academy Awards for Best Picture, Best Director, and Best Original Screenplay, becoming Bong Joon-ho the first Asian director to win Best Director at the Oscars. The film received widespread praise for its superb acting, director, storyline, and depiction of societal concerns and class conflict. It was also a box office triumph in South Korea and internationally. When Parasite was released, it gained critical praise, with many applauding Bong Joon-directing."
imdb0018,outstanding balance arthouse mainstream solid acting impressive direction beautiful shooting intense narration unconvetional humor story development brilliant,10,Palme d'Or winner,2020-08-03,imdb,"Outstanding balance between arthouse and mainstream. Solid acting, impressive direction, beautiful shooting, intense narration, unconvetional humor and story development. Brilliant."
imdb0019,hesitant watch subtitles phenomenal movie literally deserves genre intense gritty subtle rollercoaster inside maze type journey leave speechless masterpiece,10,Once in a lifetime experience,2020-02-22,imdb,"If you are hesitant to watch it because of the subtitles, don't be. This is a phenomenal movie which literally deserves it's own genre. It's intense, gritty yet subtle like- rollercoaster inside of a maze- type journey will leave you speechless at the end of this masterpiece."
imdb0020,movie decade brilliant,10,really awesome,2019-06-25,imdb,"Best movie i've ever seen in decade, everything is so brilliant"
imdb0021,cinematic masterpiece mixed genre film hold bore storyline drastic drama leaps story tecnical masterpiece boon jong ho crafted movie decade list haooy watch,10,Wll crafted,2020-02-25,imdb,"Cinematic Masterpiece with a mixed genre. A film that will hold you up and never bore you not even for a second. Its storyline, drastic drama which leaps up the story. Its an tecnical masterpiece cause Boon jong ho knows what he is doing and he crafted it well. If you asked is it the movie of the decade? Well, i can't tell it but it will be in the list. Haooy watch."
imdb0022,bit mazza lie mazza start mazza middle mega mazza top mazza,10,Mazza,2020-02-12,imdb,"Bit of a mazza throughout cannot lie. Mazza at the start, big mazza middle, mega mazza end. Overall, top mazza"
imdb0023,honest fancy type movies asian movies kills starts slow boring touch comedy half nightmare focusing society negative aspects movie awake hours night remind thankful approach check true oscar winners deserved,10,Caution: deeply unsettling,2020-02-17,imdb,"To be honest, normally, I do not fancy such type of movies, especially asian movies, this one, well, it nearly kills you. It starts somehow slow, even boring, maybe a touch of comedy, but then, then the second half of it is just a nightmare focusing on society and it's negative aspects. This movie kept me awake for many hours at night and will always remind me of so many things like to be thankful for what you have and how to approach others. Check out yourself. For sure, one of the true oscar winners! Fully deserved!"
imdb0024,feel movie simple provoking duality play rate poorly miss story spoilers emotional roller coaster movie leave thinking twists days,10,Amazing,2020-01-17,imdb,"First off, I feel like you either get this movie or you don't, that simple. There Is so much thought provoking duality that comes into play, those who rate it poorly seem to miss this part of the story. I don't want to give spoilers but if you truly allow yourself to go on the emotional roller coaster that this movie is, it will leave you thinking about all the twists and turns for days."
imdb0025,fantastic movie history script actors,10,Fantastic movie,2020-02-17,imdb,"Fantastic movie, I really liked it. History, script, actors, it was really a very good work."
