"id","star_rating","title","date","site","content_clean_nostop"
"imdb0001",10,"What a great masterpiece movie","2020-02-06","imdb","fantastic gtreatest win motion picture award"
"imdb0002",10,"What a great movie, bravo","2019-08-14","imdb","bravo bong direct mark fantastic"
"imdb0003",10,"One of the few films that can be granted the title of ""masterpiece"".","2019-12-20","imdb","writing"
"imdb0004",10,"Really good","2019-08-14","imdb","boring recommended"
"imdb0005",10,"Scariest movie I've experienced.","2020-03-26","imdb","terrified entire time incredibly rare easy 10 experienced"
"imdb0006",10,"A Grifter Great","2020-02-17","imdb","write review late movie's life post genre busting oscar read stuff con grifter genre glorious world deceit typically drama laid plan falls gloriously tragically forward black white version glorious luminosity format picture require color"
"imdb0007",10,"A thrilling and hilarious masterpiece.","2019-10-10","imdb","begin start technical aspects production design real acting phenomenal joon ho favorite kang ho song score wow script tackles complicated themes society class flawlessly developes perfectly 8 main feel actual people objects situation thrilling"
"imdb0008",10,"Well deserved an Oscar","2020-11-27","imdb","pulling reality time illusion connecting spectacular congrats"
"imdb0009",10,"It is a class-conscious thriller that you wouldn't want to miss!","2020-05-08","imdb","yesterday missed mami brilliant gripping tale class conscious thriller miss start makes laugh comic rendering entire defies expectations line bong joon ho crafts intricate modern day social hierarchies flipped mood drastically delivering brilliant thematic elements spend 132 minutes encounter experience clever humorous dramatic emotion hilarious irreverent south korea's class warfare overstate refreshing genius piece arthouse contemporary comedy errors sublime pure entertainment sly poor family manipulating gullible elites paying services wades deep waters sympathy poor desperate souls outstanding south korean dark comedy stand ages final moments unsettling unforgettable impossible estimate test undergo fail"
"imdb0010",10,"Parasite","2022-08-23","imdb","bong jon hoo created masterpiece hits genre thriller horror comedy mystery edge seat start finish recommend version experience favorite time recommend claimed prize industry throughly deserved"
"imdb0011",10,"Dark Reality","2021-07-29","imdb","cost decision consequence dark realistic thrilling funny fits genres"
"imdb0012",10,"Beautiful Masterpiece","2020-02-04","imdb","leave opinion masterpiece love south korea makes love leave thinking days row meanings brilliant love detail meaning symbolism mystery messages audience"
"imdb0013",10,"It left me silent, then came tears.","2020-06-14","imdb","remember god makers left hated undertand language picked"
"imdb0014",10,"This is what a parasite actually is","2020-02-24","imdb","awesome screenwriting acting beautiful twist makes surprise sooner theaters playing loved world brings wealthy poor beautifully edge seat talk spoil regret"
"imdb0015",10,"Best Movie ever made","2020-02-14","imdb","loved"
"imdb0016",10,"Uncomfortably good.","2020-02-19","imdb","feel cold harsh reality movie's message grasped bigger picture message perspective life twisted"
"imdb0017",10,"The Irritating Masterpiece","2023-01-26","imdb","blurring rich poor divide occurs poor family increasingly entangled life wealthy family pretend serve usage home symbol emphasizes theme basement symbolizing poor family's poverty upstairs signifying affluent family's money privilege focuses concept parasitic single refers adult children live parents unable leave owing lack financial security depicts influence capitalism individuals difficult break cycle poverty emphasizes topic survival impoverished family length live means misleading manipulating wealthier family crucial remember social commentary mirror society's reality uncomfortable comprehend message attempting portray bong joon ho 2019 south korean black comedy thriller narrative kim family impoverished family living tiny semi basement apartment son ki woo opportunity teach park's daughter entangled life rich park family ki woo increasingly involved parks life rest kim family begins enter parks lives taking position tutor employee tackles issues class struggle social inequity kim family's actions set motion chain events reveal families underlying tensions secrets deals themes greed consequences actions performances ensemble film's unusual combination genres south korean win palme d'or 2019 cannes festival won academy awards picture original bong joon ho asian win oscars received widespread praise superb acting storyline depiction societal concerns class conflict box office triumph south korea internationally released gained critical praise applauding bong joon directing"
"imdb0018",10,"Palme d'Or winner","2020-08-03","imdb","outstanding balance arthouse mainstream solid acting impressive direction beautiful shooting intense narration unconvetional humor development brilliant"
"imdb0019",10,"Once in a lifetime experience","2020-02-22","imdb","hesitant subtitles phenomenal literally deserves genre intense gritty subtle rollercoaster inside maze type journey leave speechless masterpiece"
"imdb0020",10,"really awesome","2019-06-25","imdb","decade brilliant"
"imdb0021",10,"Wll crafted","2020-02-25","imdb","cinematic masterpiece mixed genre hold bore storyline drastic drama leaps tecnical masterpiece boon jong ho crafted decade list haooy"
"imdb0022",10,"Mazza","2020-02-12","imdb","bit mazza lie mazza start mazza middle mega mazza top mazza"
"imdb0023",10,"Caution: deeply unsettling","2020-02-17","imdb","honest fancy type asian kills starts slow boring touch comedy half nightmare focusing society negative aspects awake hours night remind thankful approach check true oscar winners deserved"
"imdb0024",10,"Amazing","2020-01-17","imdb","feel simple provoking duality play rate poorly miss emotional roller coaster leave thinking twists days"
"imdb0025",10,"Fantastic movie","2020-02-17","imdb","fantastic history script"
"imdb0026",10,"A masterpiece.","2019-11-03","imdb","script outstanding acting drama comedy thrill cinematography amazing incredible"
"imdb0027",10,"Masterpiece","2019-11-20","imdb","true masterpiece unpredictable love"
"imdb0028",10,"Want a wild fun ride? Watch Parasite.","2020-10-25","imdb","top 10 time hilarious tense short cuts life actions consequences family"
"imdb0029",10,"Masterpiece","2021-01-04","imdb","damn masterpiece fun darkcomedy oneofthebestmovie concept"
"imdb0030",10,"Great movie, well deserved Oscar Winner","2020-03-03","imdb","joker irishman ford ferrari jojo rabbit time hollywood 100 agree winning oscar"
"imdb0031",10,"How hard it can BE?","2021-05-25","imdb","advantage family easy replace people easy tricks idea types people"
"imdb0032",10,"It's not a movie problem if you don't know how to read","2020-02-12","imdb","awesome minute learned read child fair oscar winner"
"imdb0033",10,"Masterpiece","2020-07-08","imdb","3 alphabets wow transforms dark comedy family drama thriller family drama spellbinding sequences perfect choreography entertaining awesome"
"imdb0034",10,"Perfect masterpiece","2020-02-12","imdb","understand giving 9 10 takes genius twists genre understanding motives mind cultural differences boundaries insults manners class divides"
"imdb0035",10,"A Masterpiece","2020-05-20","imdb","honestly masterpiece happy won picture pacing twists constantly invested happening gorgeous formed script funny people subtitled chance miss importantly foreign fail reach commercial success heard love"
"imdb0036",10,"nice","2023-12-28","imdb","nice movie.it showes reality world.korean drams disappoint entertainment 2019 palme d'or winner cannes festival disappoint hard hitting themes exceptionally crafted remarkable experience makes modern binge joy south korean filmmaker bong joon ho impeccable track record stepped game brilliant powerfully revealing social satire expectations walking love appreciation breached stratosphere 2019 bound classic"
"imdb0037",10,"Another south Korean Masterpiece ,Some people those saying movie overhyped? should check up their mind first","2020-04-07","imdb","outclass direction script acting music south korea produce masterpiece surprised win time cannes prestigious palm di award france bafta uk australian academy award golden globe screen guild award oscar award oscar 2020 tottaly deserve win direction orignal script award"
